City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
417,clyde river,CA,70.4692,-68.5914,-7.6,77,75,26.46,snow
418,hambantota,LK,6.1241,81.1185,76.5,84,88,11.41,overcast clouds
419,koratla,IN,18.8167,78.7167,71.15,30,0,3.53,clear sky
420,puerto madryn,AR,-42.7692,-65.0385,62.33,76,85,17.31,overcast clouds
421,finote selam,ET,10.7,37.2667,65.48,42,44,1.95,scattered clouds
422,tracy,US,37.7397,-121.4252,60.01,57,100,5.99,overcast clouds
423,dubbo,AU,-32.25,148.6167,68.0,56,2,14.97,clear sky
424,moose factory,CA,51.2585,-80.6094,5.0,51,1,12.66,clear sky
425,norman wells,CA,65.282,-126.8329,-4.0,77,90,10.36,light snow
426,collie,AU,-33.3667,116.15,62.44,50,7,9.82,clear sky
427,hasaki,JP,35.7333,140.8333,50.0,53,20,6.91,few clouds
428,gisborne,NZ,-38.6533,178.0042,73.0,68,5,4.0,clear sky
429,makakilo city,US,21.3469,-158.0858,78.8,65,75,10.36,light rain
430,kalmunai,LK,7.4167,81.8167,76.46,82,69,2.62,broken clouds
431,walvis bay,NA,-22.9575,14.5053,62.6,88,32,3.44,scattered clouds
432,sao joao da barra,BR,-21.6403,-41.0511,76.48,88,27,12.01,scattered clouds
433,garowe,SO,8.4054,48.4845,66.61,91,74,9.26,broken clouds
434,mikkeli,FI,61.6886,27.2723,32.0,98,90,4.29,light rain
435,loreto,MX,22.2667,-101.9667,78.85,15,1,19.24,clear sky
436,verkhnevilyuysk,RU,63.4453,120.3167,-11.31,88,93,9.55,overcast clouds
437,haines junction,CA,60.7522,-137.5108,10.4,34,55,2.3,broken clouds
438,yenagoa,NG,4.9247,6.2642,74.28,92,99,3.65,overcast clouds
439,antsohihy,MG,-14.8796,47.9875,72.72,94,0,3.18,clear sky
440,voznesenye,RU,61.0106,35.4781,33.84,95,100,5.23,overcast clouds
441,priladozhskiy,RU,59.85,31.4833,35.01,99,100,7.72,overcast clouds
442,ostrovnoy,RU,68.0531,39.5131,21.34,93,95,4.54,overcast clouds
443,snyder,US,32.7179,-100.9176,64.4,16,90,27.63,haze
444,tawaramoto,JP,34.55,135.8,48.0,81,75,3.44,broken clouds
445,havoysund,NO,70.9963,24.6622,24.8,86,75,6.91,light snow
446,elliot,ZA,-31.3333,27.85,59.56,97,45,2.57,scattered clouds
447,wasilla,US,61.5814,-149.4394,25.0,46,75,4.61,broken clouds
448,honiara,SB,-9.4333,159.95,84.2,74,90,4.09,overcast clouds
449,neiafu,TO,-18.65,-173.9833,84.2,74,40,6.91,scattered clouds
450,changping,CN,40.2186,116.2197,53.6,58,33,11.18,haze
